strategy,bin_left,bin_right,count,density
independent,0.000000,0.020000,366264,0.031243858097
independent,0.020000,0.040000,305639,0.026072290875
independent,0.040000,0.060000,339727,0.028980140499
independent,0.060000,0.080000,363271,0.030988542622
independent,0.080000,0.100000,374553,0.031950944625
independent,0.100000,0.120000,382192,0.032602583421
independent,0.120000,0.140000,384992,0.032841435185
independent,0.140000,0.160000,383362,0.032702389337
independent,0.160000,0.180000,376746,0.032138016739
independent,0.180000,0.200000,374270,0.031926803536
independent,0.200000,0.220000,370943,0.031642996457
independent,0.220000,0.240000,366504,0.031264331106
independent,0.240000,0.260000,362506,0.030923284908
independent,0.260000,0.280000,358641,0.030593584169
independent,0.280000,0.300000,352417,0.030062650818
independent,0.300000,0.320000,346917,0.029593477709
independent,0.320000,0.340000,337297,0.028772851290
independent,0.340000,0.360000,328165,0.027993853320
independent,0.360000,0.380000,317628,0.027095002948
independent,0.380000,0.400000,307464,0.026227971043
independent,0.400000,0.420000,295385,0.025197581592
independent,0.420000,0.440000,285339,0.024340615582
independent,0.440000,0.460000,275947,0.023539438521
independent,0.460000,0.480000,262361,0.022380495638
independent,0.480000,0.500000,250483,0.021367252331
independent,0.500000,0.520000,240484,0.020514295619
independent,0.520000,0.540000,229657,0.019590707029
independent,0.540000,0.560000,219834,0.018752763856
independent,0.560000,0.580000,210936,0.017993727070
independent,0.580000,0.600000,201163,0.017160049108
independent,0.600000,0.620000,190195,0.016224432625
independent,0.620000,0.640000,178590,0.015234477365
independent,0.640000,0.660000,166468,0.014200419833
independent,0.660000,0.680000,154252,0.013158343706
independent,0.680000,0.700000,142773,0.012179136776
independent,0.700000,0.720000,134002,0.011430933624
independent,0.720000,0.740000,125094,0.010671043796
independent,0.740000,0.760000,115919,0.009888377746
independent,0.760000,0.780000,106938,0.009122260711
independent,0.780000,0.800000,98971,0.008442642137
independent,0.800000,0.820000,90580,0.007726854582
independent,0.820000,0.840000,84490,0.007207351994
independent,0.840000,0.860000,77648,0.006623700646
independent,0.860000,0.880000,70420,0.006007121877
independent,0.880000,0.900000,64186,0.005475335484
independent,0.900000,0.920000,58257,0.004969566873
independent,0.920000,0.940000,51608,0.004402379237
independent,0.940000,0.960000,46201,0.003941139418
independent,0.960000,0.980000,40984,0.003496107399
independent,0.980000,1.000000,154089,0.013144439121
ratio_preserving,0.000000,0.020000,0,0.000000000000
ratio_preserving,0.020000,0.040000,0,0.000000000000
ratio_preserving,0.040000,0.060000,0,0.000000000000
ratio_preserving,0.060000,0.080000,118,0.000010065896
ratio_preserving,0.080000,0.100000,7991,0.000681665875
ratio_preserving,0.100000,0.120000,1913,0.000163186938
ratio_preserving,0.120000,0.140000,17483,0.001491373357
ratio_preserving,0.140000,0.160000,19038,0.001624021390
ratio_preserving,0.160000,0.180000,20141,0.001718111925
ratio_preserving,0.180000,0.200000,12986,0.001107760362
ratio_preserving,0.200000,0.220000,23115,0.001971806620
ratio_preserving,0.220000,0.240000,38369,0.003273036911
ratio_preserving,0.240000,0.260000,48485,0.004135974215
ratio_preserving,0.260000,0.280000,89626,0.007645474373
ratio_preserving,0.280000,0.300000,112933,0.009633659400
ratio_preserving,0.300000,0.320000,145892,0.012445200581
